gene_id	gene_name	chromosome	start	end	strand	type
ENSG00000227885.2	AL590652.1	chr6	53740749	53794274	-	processed_transcript
ENSG00000137269.14	LRRC1	chr6	53794497	53924121	+	protein_coding
ENSG00000271218.1	AL033384.2	chr6	53918974	53920788	-	antisense
ENSG00000146147.14	MLIP	chr6	53929982	54266280	+	protein_coding
ENSG00000236740.6	AL033384.1	chr6	53930022	53997667	+	lincRNA
ENSG00000235050.6	MLIP-AS1	chr6	53978549	54079726	-	antisense
ENSG00000236996.1	MLIP-IT1	chr6	53998890	54007152	+	sense_intronic
ENSG00000218143.2	ERHP2	chr6	54016479	54016777	-	processed_pseudogene
ENSG00000137251.15	TINAG	chr6	54307859	54390152	+	protein_coding
ENSG00000228231.2	AL589946.1	chr6	54365335	54369971	-	antisense
ENSG00000213335.4	CLNS1AP1	chr6	54485169	54485850	-	processed_pseudogene
ENSG00000216347.1	RPL10P10	chr6	54602487	54603150	-	processed_pseudogene
ENSG00000220773.1	RPSAP44	chr6	54624605	54625488	+	processed_pseudogene
ENSG00000220635.2	KRASP1	chr6	54770583	54771134	+	processed_pseudogene
ENSG00000251946.1	RNU6-1023P	chr6	54786387	54786492	+	snRNA
ENSG00000224984.1	AL512363.1	chr6	54840118	54840855	-	antisense
ENSG00000168143.8	FAM83B	chr6	54846771	54942022	+	protein_coding
ENSG00000261116.1	AL049555.1	chr6	54943167	54945099	+	sense_overlapping
ENSG00000137252.9	HCRTR2	chr6	55106460	55282620	+	protein_coding
ENSG00000187871.2	GFRAL	chr6	55327469	55402493	+	protein_coding
ENSG00000146151.13	HMGCLL1	chr6	55434369	55579214	-	protein_coding
ENSG00000220725.1	AL590290.1	chr6	55680642	55681021	-	processed_pseudogene
ENSG00000112175.7	BMP5	chr6	55753645	55875564	-	protein_coding
ENSG00000214604.3	NPM1P36	chr6	55939790	55940624	-	processed_pseudogene
ENSG00000124749.16	COL21A1	chr6	56056590	56394094	-	protein_coding
ENSG00000219095.1	DHFRP6	chr6	56276529	56276796	-	processed_pseudogene
ENSG00000227602.1	AL031779.1	chr6	56331788	56332117	-	sense_intronic
ENSG00000220666.2	RCC2P7	chr6	56431950	56433213	-	processed_pseudogene
ENSG00000151914.19	DST	chr6	56457987	56954628	-	protein_coding
ENSG00000231441.1	AL512422.1	chr6	56844002	56864078	+	antisense
ENSG00000216854.2	RPL17P26	chr6	56871191	56871743	+	processed_pseudogene
ENSG00000200224.2	RNU6-626P	chr6	56945730	56945836	+	snRNA
ENSG00000151917.17	BEND6	chr6	56955126	57027342	+	protein_coding
ENSG00000219790.3	OSTCP6	chr6	56975606	56976062	-	processed_pseudogene
ENSG00000218980.2	FTH1P15	chr6	57004520	57004799	+	processed_pseudogene
ENSG00000276576.1	MRPL30P1	chr6	57029521	57029988	+	processed_pseudogene
ENSG00000168116.13	KIAA1586	chr6	57046532	57055239	+	protein_coding
ENSG00000112200.16	ZNF451	chr6	57086844	57170307	+	protein_coding
ENSG00000226803.8	ZNF451-AS1	chr6	57114894	57174236	-	antisense
ENSG00000112208.11	BAG2	chr6	57172326	57189833	+	protein_coding
ENSG00000112210.11	RAB23	chr6	57186992	57222314	-	protein_coding
ENSG00000146143.17	PRIM2	chr6	57314805	57646849	+	protein_coding
ENSG00000212017.2	MIR548U	chr6	57390132	57390212	+	miRNA
ENSG00000266579.1	FO680682.1	chr6	57493855	57497691	+	lincRNA
ENSG00000272541.1	AL021368.3	chr6	57855891	57856468	-	lincRNA
ENSG00000271761.1	AL021368.1	chr6	57902609	57903148	-	lincRNA
ENSG00000272316.1	AL021368.2	chr6	57908560	57913911	-	lincRNA
ENSG00000239650.4	GUSBP4	chr6	57919784	57930291	-	transcribed_unprocessed_pseudogene
ENSG00000283352.1	LINC00680-GUSBP4	chr6	57919912	57961382	-	processed_transcript
ENSG00000218189.4	POM121L14P	chr6	57937458	57939015	+	processed_pseudogene
ENSG00000215190.9	LINC00680	chr6	57946074	57961501	-	transcribed_unprocessed_pseudogene
ENSG00000225096.2	AL445250.1	chr6	57961438	58438364	+	lincRNA
ENSG00000214563.2	GAPDHP15	chr6	57967687	57968661	-	processed_pseudogene
ENSG00000216687.2	AL390237.1	chr6	58071720	58073134	-	processed_pseudogene
ENSG00000214561.3	RBBP4P4	chr6	58119741	58121029	-	processed_pseudogene
ENSG00000275046.1	AL603755.1	chr6	58386799	58386961	+	processed_pseudogene
ENSG00000283453.2	AC244258.1	chr6	60281444	60546660	+	transcribed_unprocessed_pseudogene
ENSG00000277172.1	GAPDHP41	chr6	60719222	60720196	-	processed_pseudogene
ENSG00000275773.1	AL590227.1	chr6	60723148	60723898	+	lincRNA
ENSG00000274844.1	AL512427.1	chr6	60826185	60826533	-	processed_pseudogene
ENSG00000276290.1	RBBP4P3	chr6	60873360	60874642	-	processed_pseudogene
ENSG00000220030.1	AL356131.1	chr6	61240898	61241311	+	processed_pseudogene
ENSG00000255633.5	MTRNR2L9	chr6	61574328	61574402	+	processed_pseudogene
ENSG00000250686.2	KHDRBS2-OT	chr6	61630233	61681049	-	3prime_overlapping_ncRNA
ENSG00000112232.8	KHDRBS2	chr6	61679960	62286227	-	protein_coding
ENSG00000216859.1	DHFRP5	chr6	62460940	62461503	-	processed_pseudogene
ENSG00000217067.2	AL355375.1	chr6	62547427	62548272	+	unprocessed_pseudogene
ENSG00000262566.1	AL355375.2	chr6	62611153	62611327	-	processed_pseudogene
ENSG00000217477.2	AL450346.1	chr6	63193072	63193630	-	processed_pseudogene
ENSG00000198225.5	FKBP1C	chr6	63211446	63213024	+	protein_coding
ENSG00000219940.2	SPTLC1P3	chr6	63227485	63227743	+	processed_pseudogene
ENSG00000218520.5	AL450346.2	chr6	63229087	63230110	-	processed_pseudogene
ENSG00000146166.16	LGSN	chr6	63275951	63319977	-	protein_coding
ENSG00000218617.1	AL121949.3	chr6	63392222	63392606	+	processed_pseudogene
ENSG00000218274.2	AL121949.2	chr6	63395007	63397106	-	unprocessed_pseudogene
ENSG00000218048.2	AL121949.1	chr6	63440766	63443580	+	unprocessed_pseudogene
ENSG00000225121.2	EEF1B2P5	chr6	63480134	63481876	+	unprocessed_pseudogene
ENSG00000112245.11	PTP4A1	chr6	63521746	63583377	+	protein_coding
ENSG00000213312.3	RPL7AP34	chr6	63548708	63549508	-	processed_pseudogene
ENSG00000266680.1	AL135905.1	chr6	63571005	63572408	-	antisense
ENSG00000285976.1	AL135905.2	chr6	63572012	63583587	+	protein_coding
ENSG00000262651.1	AL513043.1	chr6	63612761	63612903	-	processed_pseudogene
ENSG00000213309.3	RPL9P18	chr6	63615827	63616361	-	processed_pseudogene
ENSG00000118482.11	PHF3	chr6	63635820	63779336	+	protein_coding
ENSG00000188107.14	EYS	chr6	63719980	65707225	-	protein_coding
ENSG00000218813.1	AL354719.1	chr6	63797189	63798031	+	processed_pseudogene
ENSG00000236345.1	AL354719.2	chr6	63806836	63822642	+	antisense
ENSG00000219653.1	GCNT1P4	chr6	63857441	63857769	+	processed_pseudogene
ENSG00000232120.1	AL357375.1	chr6	64377795	64412779	+	antisense
ENSG00000217811.1	HNRNPDP2	chr6	64631205	64631682	-	processed_pseudogene
ENSG00000243828.2	AL355357.1	chr6	64728837	64733837	-	transcribed_processed_pseudogene
ENSG00000214558.4	AL365217.1	chr6	65302522	65304957	+	processed_pseudogene
ENSG00000220483.4	SLC25A51P1	chr6	65788417	65789287	+	processed_pseudogene
ENSG00000233859.2	ADH5P4	chr6	65836930	65838039	-	processed_pseudogene
ENSG00000218890.1	NUFIP1P	chr6	66093431	66094909	-	processed_pseudogene
ENSG00000270521.1	AL450336.1	chr6	66710242	66710827	-	processed_pseudogene
ENSG00000238949.1	RNU7-66P	chr6	66728843	66728904	-	snRNA
ENSG00000212229.1	RF00571	chr6	67210408	67210480	-	snoRNA
ENSG00000271111.1	AL365503.1	chr6	67456346	67457250	-	processed_pseudogene
ENSG00000251965.1	RNA5SP208	chr6	67467231	67467308	-	rRNA_pseudogene
ENSG00000201015.1	RNU6-280P	chr6	67546651	67546754	+	snRNA
ENSG00000206672.1	RF00019	chr6	67625356	67625464	+	misc_RNA
ENSG00000227706.3	AL713998.1	chr6	67887646	67889339	-	lincRNA
ENSG00000270509.1	AL713998.2	chr6	67933485	67934682	+	processed_pseudogene
ENSG00000285838.1	AL646090.2	chr6	68040290	68083574	+	lincRNA
ENSG00000223504.1	AL646090.1	chr6	68055351	68060502	+	lincRNA
ENSG00000226497.1	LINC02549	chr6	68226972	68329899	-	lincRNA
ENSG00000218834.1	AL606923.1	chr6	68598204	68598393	-	processed_pseudogene
ENSG00000230910.3	AL391807.1	chr6	68628117	68635161	-	processed_transcript
ENSG00000135298.13	ADGRB3	chr6	68635367	69389511	+	protein_coding
ENSG00000168216.11	LMBRD1	chr6	69675793	69867236	-	protein_coding
ENSG00000219085.1	NPM1P37	chr6	69705287	69706160	-	processed_pseudogene
ENSG00000219881.1	GAPDHP42	chr6	69745871	69746851	+	processed_pseudogene
ENSG00000082293.12	COL19A1	chr6	69866571	70209976	+	protein_coding
ENSG00000216365.2	RPL37P15	chr6	70098390	70098676	-	processed_pseudogene
ENSG00000112280.16	COL9A1	chr6	70215061	70303083	-	protein_coding
ENSG00000253809.1	AL160262.1	chr6	70222758	70242156	+	antisense
ENSG00000237643.1	AL365226.2	chr6	70394887	70399417	+	lincRNA
ENSG00000224349.2	AL365226.1	chr6	70412828	70413950	-	antisense
ENSG00000082269.16	FAM135A	chr6	70412941	70561174	+	protein_coding
ENSG00000238386.1	RNU7-48P	chr6	70513294	70513356	+	snRNA
ENSG00000154079.5	SDHAF4	chr6	70566917	70589569	+	protein_coding
ENSG00000271967.1	AL583856.2	chr6	70596438	70596980	+	lincRNA
ENSG00000232389.1	AL583856.1	chr6	70608234	70609334	-	processed_pseudogene
ENSG00000218870.1	SLC25A6P6	chr6	70663502	70664279	-	processed_pseudogene
ENSG00000112305.14	SMAP1	chr6	70667776	70862015	+	protein_coding
ENSG00000262803.1	AL354943.1	chr6	70693839	70694619	+	processed_pseudogene
ENSG00000217767.2	NDUFAB1P1	chr6	70734503	70734962	+	processed_pseudogene
ENSG00000112309.10	B3GAT2	chr6	70856679	70957038	-	protein_coding
ENSG00000219669.1	BECN1P2	chr6	71075564	71076375	+	processed_pseudogene
ENSG00000221345.2	RF00012	chr6	71126893	71127105	-	snoRNA
ENSG00000218350.1	LYPLA1P3	chr6	71165076	71165770	+	processed_pseudogene
ENSG00000207180.1	RNU6-411P	chr6	71182612	71182718	+	snRNA
ENSG00000232295.7	AL589935.1	chr6	71221457	71328228	-	processed_transcript
ENSG00000276127.1	AL589935.2	chr6	71251758	71252988	+	processed_pseudogene
ENSG00000119900.8	OGFRL1	chr6	71288803	71308950	+	protein_coding
ENSG00000269966.1	AL136164.2	chr6	71295173	71417436	-	lincRNA
ENSG00000230597.1	AL136164.1	chr6	71328942	71329806	+	lincRNA
ENSG00000233237.6	LINC00472	chr6	71344344	71420769	-	lincRNA
ENSG00000279312.1	AL136164.4	chr6	71373253	71375387	-	TEC
ENSG00000199094.3	MIR30C2	chr6	71376960	71377031	-	miRNA
ENSG00000279289.1	AL136164.3	chr6	71386852	71390829	-	TEC
ENSG00000207827.1	MIR30A	chr6	71403551	71403621	-	miRNA
ENSG00000223765.2	LINC01626	chr6	71450834	71458874	+	lincRNA
ENSG00000285963.1	AL035467.2	chr6	71532070	71534715	+	lincRNA
ENSG00000219575.1	AL035467.1	chr6	71550958	71551643	-	processed_pseudogene
ENSG00000218014.1	KRT19P1	chr6	71584721	71585906	+	processed_pseudogene
ENSG00000202069.1	RNU4-66P	chr6	71652474	71652611	-	snRNA
ENSG00000079841.18	RIMS1	chr6	71886703	72403143	+	protein_coding
ENSG00000218732.1	AL035633.1	chr6	72316599	72317436	-	processed_pseudogene
ENSG00000217483.1	FO393414.2	chr6	72522641	72523238	+	processed_pseudogene
ENSG00000181514.6	FO393414.1	chr6	72598451	72599634	-	processed_pseudogene
ENSG00000285844.1	FO393414.3	chr6	72614386	72622073	-	bidirectional_promoter_lncRNA
ENSG00000185760.15	KCNQ5	chr6	72621792	73198851	+	protein_coding
ENSG00000233844.1	KCNQ5-IT1	chr6	72630495	72678558	+	sense_intronic
ENSG00000266180.1	MIR4282	chr6	72967687	72967753	-	miRNA
ENSG00000232422.1	KNOP1P4	chr6	72986313	72987750	+	processed_pseudogene
ENSG00000220515.2	PGAM1P10	chr6	73055097	73055857	+	processed_pseudogene
ENSG00000229154.1	KCNQ5-AS1	chr6	73134803	73143514	-	antisense
ENSG00000234025.1	RBPMS2P1	chr6	73157517	73158139	-	processed_pseudogene
ENSG00000251360.2	KHDC1P1	chr6	73209083	73210080	-	transcribed_unprocessed_pseudogene
ENSG00000243501.5	AL365232.1	chr6	73209746	73263196	-	protein_coding
ENSG00000256980.4	KHDC1L	chr6	73223544	73225770	-	protein_coding
ENSG00000135314.12	KHDC1	chr6	73241314	73310365	-	protein_coding
ENSG00000229852.2	AC019205.1	chr6	73263215	73301401	+	antisense
ENSG00000239626.1	RPSAP41	chr6	73290403	73291262	+	processed_pseudogene
ENSG00000234882.1	EIF3EP1	chr6	73291962	73293277	+	processed_pseudogene
ENSG00000223389.1	SDCBP2P1	chr6	73322837	73323450	+	processed_pseudogene
ENSG00000226840.1	PAICSP3	chr6	73327524	73329017	+	processed_pseudogene
ENSG00000203909.3	DPPA5	chr6	73353062	73354295	-	protein_coding
ENSG00000203908.3	KHDC3L	chr6	73362677	73364171	+	protein_coding
ENSG00000203907.9	OOEP	chr6	73368555	73395133	-	protein_coding
ENSG00000231332.2	OOEP-AS1	chr6	73369704	73387717	+	antisense
ENSG00000235174.1	RPL39P3	chr6	73373108	73373263	-	processed_pseudogene
ENSG00000224221.1	RPS6P8	chr6	73391038	73391767	-	processed_pseudogene
ENSG00000080007.7	DDX43	chr6	73394748	73417569	+	protein_coding
ENSG00000164430.15	CGAS	chr6	73413515	73452276	-	protein_coding
ENSG00000135297.15	MTO1	chr6	73461578	73509236	+	protein_coding
ENSG00000207023.1	RNU6-975P	chr6	73464073	73464177	+	snRNA
ENSG00000271986.2	RN7SL827P	chr6	73487590	73487877	-	misc_RNA
ENSG00000223821.1	AL603910.1	chr6	73492025	73492742	-	antisense
ENSG00000156508.17	EEF1A1	chr6	73515750	73523797	-	protein_coding
ENSG00000229862.5	AL121972.1	chr6	73523618	73570596	+	antisense
ENSG00000223967.1	AL603910.2	chr6	73526744	73526879	-	processed_pseudogene
ENSG00000119899.12	SLC17A5	chr6	73593379	73654155	-	protein_coding
ENSG00000218459.1	RPS27P15	chr6	73618346	73618597	+	processed_pseudogene
ENSG00000231652.2	AL590428.1	chr6	73693903	73696131	-	antisense
ENSG00000156535.14	CD109	chr6	73695785	73828316	+	protein_coding
ENSG00000279790.1	AL590552.1	chr6	73971346	73973115	+	TEC
ENSG00000217268.1	TXNP7	chr6	74004520	74004812	-	processed_pseudogene
ENSG00000223786.1	AL357507.1	chr6	74069451	74690727	+	lincRNA
ENSG00000217178.1	AL357563.1	chr6	74282266	74282660	+	processed_pseudogene
ENSG00000272243.5	AL356277.3	chr6	74530248	74734279	-	lincRNA
ENSG00000218483.1	AL356277.1	chr6	74610449	74610715	-	processed_pseudogene
ENSG00000224583.1	AL356277.2	chr6	74642384	74652002	+	lincRNA
ENSG00000219736.1	AL356473.1	chr6	74849077	74850484	-	processed_pseudogene
ENSG00000111799.20	COL12A1	chr6	75084326	75206051	-	protein_coding
ENSG00000112695.11	COX7A2	chr6	75237675	75250323	-	protein_coding
ENSG00000112697.15	TMEM30A	chr6	75252924	75284968	-	protein_coding
ENSG00000225793.2	AL080250.1	chr6	75285014	75297003	+	lincRNA
ENSG00000118407.14	FILIP1	chr6	75291859	75493738	-	protein_coding
ENSG00000203489.3	HMGB1P39	chr6	75319101	75319980	-	processed_pseudogene
ENSG00000237174.7	AL445465.1	chr6	75357214	75399300	+	antisense
ENSG00000221332.2	RF00012	chr6	75398860	75399067	-	snoRNA
ENSG00000263533.1	MIR4463	chr6	75428407	75428473	+	miRNA
ENSG00000238156.1	AL445465.2	chr6	75454944	75458900	+	lincRNA
ENSG00000217680.1	UBE2V1P15	chr6	75465123	75465570	+	processed_pseudogene
ENSG00000201291.1	RNU1-34P	chr6	75473738	75473894	-	snRNA
ENSG00000219722.1	RPL26P20	chr6	75499705	75500136	+	processed_pseudogene
ENSG00000220730.2	AL356057.2	chr6	75586122	75586461	+	processed_pseudogene
ENSG00000252137.1	RNU6-1338P	chr6	75593055	75593145	+	snRNA
ENSG00000112701.17	SENP6	chr6	75601509	75718278	+	protein_coding
ENSG00000217488.2	AL356057.1	chr6	75610958	75611945	-	transcribed_processed_pseudogene
ENSG00000252498.1	RNU6-1016P	chr6	75644084	75644177	+	snRNA
ENSG00000200091.1	RN7SKP163	chr6	75654970	75655299	-	misc_RNA
ENSG00000285401.1	AL109897.1	chr6	75744275	75744840	+	processed_pseudogene
ENSG00000196586.13	MYO6	chr6	75749192	75919537	+	protein_coding
ENSG00000252156.1	RNU6-155P	chr6	75768059	75768158	-	snRNA
ENSG00000223169.1	RNA5SP209	chr6	75865239	75865335	-	rRNA_pseudogene
ENSG00000112706.11	IMPG1	chr6	75921115	76072678	-	protein_coding
ENSG00000200040.1	RF00019	chr6	75928513	75928625	+	misc_RNA
ENSG00000222652.1	RNU6-248P	chr6	76092834	76092940	+	snRNA
ENSG00000238697.1	RNU6-261P	chr6	76446988	76447089	-	snRNA
ENSG00000236635.2	LINC02540	chr6	76522451	76593623	-	lincRNA
ENSG00000272445.1	RNU6-84P	chr6	76557653	76557754	-	snRNA
ENSG00000280511.1	AL591030.1	chr6	76561328	76562590	+	lincRNA
ENSG00000231762.1	AL590426.1	chr6	76660486	76662770	+	processed_pseudogene
ENSG00000271945.1	AL590426.2	chr6	76774983	76775860	+	lincRNA
ENSG00000276064.1	AL365222.1	chr6	77343557	77343654	+	processed_pseudogene
ENSG00000135312.6	HTR1B	chr6	77461753	77463773	-	protein_coding
ENSG00000219253.1	RPS6P7	chr6	77496119	77496671	+	processed_pseudogene
ENSG00000269964.3	MEI4	chr6	77650274	77927028	+	protein_coding
ENSG00000230309.1	AL121718.1	chr6	78604467	78606036	-	lincRNA
ENSG00000229495.1	AL450327.1	chr6	78809715	78813303	-	lincRNA
ENSG00000146243.13	IRAK1BP1	chr6	78867472	78946440	+	protein_coding
ENSG00000146247.13	PHIP	chr6	78935867	79078236	-	protein_coding
ENSG00000217512.1	AL356776.1	chr6	79067692	79068138	-	processed_pseudogene
ENSG00000118418.14	HMGN3	chr6	79201245	79234738	-	protein_coding
ENSG00000270362.1	HMGN3-AS1	chr6	79233718	79236797	+	antisense
ENSG00000220154.2	AL355796.1	chr6	79278105	79278427	-	processed_pseudogene
ENSG00000201464.1	RF00019	chr6	79301963	79302066	-	misc_RNA
ENSG00000217786.1	AL355379.1	chr6	79326568	79327207	-	processed_pseudogene
ENSG00000218029.3	AL078601.1	chr6	79354443	79354713	-	processed_pseudogene
ENSG00000262048.1	AL078601.3	chr6	79406240	79406774	-	processed_pseudogene
ENSG00000231533.1	AL078601.2	chr6	79420297	79421305	+	lincRNA
ENSG00000218748.1	DBIP1	chr6	79436908	79437167	-	processed_pseudogene
ENSG00000135338.13	LCA5	chr6	79484991	79537458	-	protein_coding
ENSG00000261970.1	AL391840.1	chr6	79552794	79553160	+	processed_pseudogene
ENSG00000272137.1	AL451064.1	chr6	79561132	79561602	+	lincRNA
ENSG00000279659.1	AL451064.2	chr6	79573877	79575530	+	TEC
ENSG00000198478.7	SH3BGRL2	chr6	79631283	79703659	+	protein_coding
ENSG00000235357.1	LINC01621	chr6	79803583	79807225	-	lincRNA
ENSG00000220918.1	AL132875.1	chr6	79854684	79855632	+	processed_pseudogene
ENSG00000285586.1	AL132875.3	chr6	79868402	79870483	+	lincRNA
ENSG00000233835.1	AL132875.2	chr6	79871873	79874610	+	lincRNA
ENSG00000118402.5	ELOVL4	chr6	79914812	79947580	-	protein_coding
ENSG00000218582.2	GAPDHP63	chr6	79953005	79954011	-	processed_pseudogene
ENSG00000220311.1	RPL35AP18	chr6	79964215	79964519	+	processed_pseudogene
ENSG00000112742.9	TTK	chr6	80003887	80042527	+	protein_coding
ENSG00000218418.2	AL591135.1	chr6	80064286	80070199	-	processed_pseudogene
ENSG00000217377.1	AK4P5	chr6	80077729	80078362	-	processed_pseudogene
ENSG00000083123.14	BCKDHB	chr6	80106647	80346270	+	protein_coding
ENSG00000272129.1	AL359715.3	chr6	80355424	80356859	+	lincRNA
ENSG00000219547.1	RPL17P25	chr6	80374015	80374569	-	processed_pseudogene
ENSG00000279022.1	AL359715.4	chr6	80440730	80441172	+	TEC
ENSG00000233967.6	AL359715.1	chr6	80443344	80465927	+	lincRNA
ENSG00000260645.2	AL359715.2	chr6	80466958	80469080	+	lincRNA
ENSG00000219361.1	RPSAP72	chr6	80470071	80470428	-	processed_pseudogene
ENSG00000181705.2	AL596028.1	chr6	80499196	80499392	-	processed_pseudogene
ENSG00000216352.1	AL590824.1	chr6	80555841	80557189	-	processed_pseudogene
ENSG00000112773.15	TENT5A	chr6	81491439	81752774	-	protein_coding
ENSG00000226089.2	AL122017.1	chr6	81527102	81534915	-	sense_intronic
ENSG00000277797.1	AL359693.1	chr6	81551686	81554092	+	lincRNA
ENSG00000212336.1	RNA5SP210	chr6	81622200	81622319	+	rRNA_pseudogene
ENSG00000232031.1	AL078599.2	chr6	81724722	81736353	-	sense_intronic
ENSG00000206886.1	RF00156	chr6	81764024	81764156	+	snoRNA
ENSG00000219702.1	AL078599.1	chr6	81764211	81764503	+	processed_pseudogene
ENSG00000224995.1	LINC01526	chr6	81813286	81814157	-	lincRNA
ENSG00000226453.1	LINC02542	chr6	81845185	81933480	-	lincRNA
ENSG00000260574.1	AL360157.1	chr6	81969453	81969539	-	lincRNA
ENSG00000005700.14	IBTK	chr6	82169983	82247754	-	protein_coding
ENSG00000223044.1	RNU6-130P	chr6	82210338	82210440	-	snRNA
ENSG00000220537.1	AL121977.1	chr6	82263996	82264974	-	processed_pseudogene
ENSG00000146242.8	TPBG	chr6	82363206	82370828	+	protein_coding
ENSG00000118420.16	UBE3D	chr6	82892398	83065841	-	protein_coding
ENSG00000220091.2	LAP3P1	chr6	82924829	82925122	-	processed_pseudogene
ENSG00000227215.1	AL355613.1	chr6	82932601	82938677	+	antisense
ENSG00000083097.14	DOP1A	chr6	83067666	83171350	+	protein_coding
ENSG00000013375.15	PGM3	chr6	83161150	83193936	-	protein_coding
ENSG00000013392.7	RWDD2A	chr6	83193379	83198932	+	protein_coding
ENSG00000065833.8	ME1	chr6	83210389	83431071	-	protein_coding
ENSG00000219951.4	AL391416.1	chr6	83392416	83393409	+	processed_pseudogene
ENSG00000146250.6	PRSS35	chr6	83512538	83525704	+	protein_coding
ENSG00000065609.14	SNAP91	chr6	83552880	83709691	-	protein_coding
ENSG00000237874.2	AL136972.1	chr6	83728055	83736525	+	lincRNA
ENSG00000203877.8	RIPPLY2	chr6	83853266	83857515	+	protein_coding
ENSG00000065615.13	CYB5R4	chr6	83859643	83967424	+	protein_coding
ENSG00000228679.1	AL034347.1	chr6	83983728	84007323	+	lincRNA
ENSG00000230852.2	AL161621.1	chr6	84019204	84026100	+	lincRNA
ENSG00000135324.5	MRAP2	chr6	84033756	84090881	+	protein_coding
ENSG00000135315.11	CEP162	chr6	84124241	84227635	-	protein_coding
ENSG00000231776.5	LINC01611	chr6	84421028	84556152	-	lincRNA
ENSG00000226309.1	SMARCE1P2	chr6	84429584	84430802	-	processed_pseudogene
ENSG00000112837.16	TBX18	chr6	84687351	84764519	-	protein_coding
ENSG00000228290.6	TBX18-AS1	chr6	84687712	84709578	+	antisense
ENSG00000219604.1	AL590143.1	chr6	84689292	84689429	-	processed_pseudogene
ENSG00000216523.1	AL109941.1	chr6	84966397	84966625	-	processed_pseudogene
ENSG00000220291.1	AL139806.1	chr6	85155667	85167749	+	unprocessed_pseudogene
ENSG00000216902.3	AL122016.1	chr6	85257328	85257694	+	processed_pseudogene
ENSG00000217060.1	AL135903.1	chr6	85286076	85290849	+	unprocessed_pseudogene
ENSG00000213211.2	KRT18P64	chr6	85287789	85289007	+	processed_pseudogene
ENSG00000234155.1	LINC02535	chr6	85387219	85390186	-	lincRNA
ENSG00000216439.1	DUTP5	chr6	85426657	85427125	-	processed_pseudogene
ENSG00000214460.3	TPT1P6	chr6	85427453	85427966	-	processed_pseudogene
ENSG00000135318.11	NT5E	chr6	85449584	85495791	+	protein_coding
ENSG00000280232.1	AL589666.2	chr6	85498441	85499058	-	TEC
ENSG00000135317.12	SNX14	chr6	85505496	85594156	-	protein_coding
ENSG00000271793.1	AL589666.1	chr6	85557978	85615234	-	protein_coding
ENSG00000135316.17	SYNCRIP	chr6	85607785	85643792	-	protein_coding
ENSG00000220563.1	PKMP3	chr6	85659892	85660606	-	processed_pseudogene
ENSG00000203875.11	SNHG5	chr6	85660950	85678748	-	processed_transcript
ENSG00000275072.1	SNORD50B	chr6	85677589	85677658	-	snoRNA
ENSG00000217334.1	AL355615.1	chr6	85731371	85732011	+	processed_pseudogene
ENSG00000198738.4	SMIM11P1	chr6	85735744	85735921	-	processed_pseudogene
ENSG00000222686.1	RNU4-72P	chr6	85751581	85751753	+	snRNA
ENSG00000200427.1	RF00019	chr6	85777639	85777755	-	misc_RNA
ENSG00000218766.1	AL450338.1	chr6	85868953	85869464	+	processed_pseudogene
ENSG00000202103.1	RNU4-12P	chr6	85993021	85993159	-	snRNA
ENSG00000220069.1	RPL7P27	chr6	86086415	86087134	-	processed_pseudogene
ENSG00000217272.1	AL049545.1	chr6	86170447	86171018	-	processed_pseudogene
ENSG00000220831.4	NDUFA5P9	chr6	86214237	86214576	-	processed_pseudogene
ENSG00000219500.1	AL391417.1	chr6	86432244	86432669	+	processed_pseudogene
ENSG00000243124.3	RN7SL643P	chr6	86435848	86436138	+	misc_RNA
ENSG00000218561.1	AL353133.1	chr6	86729708	86730108	-	processed_pseudogene
ENSG00000219190.1	AL353133.2	chr6	86768522	86768932	-	processed_pseudogene
ENSG00000217769.4	AL157777.1	chr6	86897118	86897421	+	processed_pseudogene
ENSG00000220240.1	AL157777.2	chr6	86897547	86897683	+	unprocessed_pseudogene
ENSG00000168830.7	HTR1E	chr6	86937306	87016683	+	protein_coding
ENSG00000214457.3	RPL7P29	chr6	86970466	86971193	+	processed_pseudogene
ENSG00000217169.2	MTHFD2P2	chr6	87000045	87000291	-	processed_pseudogene
ENSG00000217776.1	AL138827.1	chr6	87070156	87070461	-	processed_pseudogene
ENSG00000252697.1	RN7SKP209	chr6	87083233	87083536	+	misc_RNA
ENSG00000135346.8	CGA	chr6	87085498	87095406	-	protein_coding
ENSG00000215477.2	RCN1P1	chr6	87121693	87122688	-	processed_pseudogene
ENSG00000272008.1	AL139274.2	chr6	87151159	87155285	-	antisense
ENSG00000188994.12	ZNF292	chr6	87152833	87264196	+	protein_coding
ENSG00000218313.1	AL139274.1	chr6	87173368	87174303	-	processed_pseudogene
ENSG00000164411.11	GJB7	chr6	87282978	87329278	-	protein_coding
ENSG00000216990.2	HSPD1P10	chr6	87298772	87300447	+	processed_pseudogene
ENSG00000111850.10	SMIM8	chr6	87322583	87399749	+	protein_coding
ENSG00000203872.6	C6orf163	chr6	87344849	87365463	+	protein_coding
ENSG00000279616.1	AL096817.1	chr6	87356831	87358605	+	TEC
ENSG00000272514.5	CFAP206	chr6	87407983	87464465	+	protein_coding
ENSG00000213204.8	AL049697.1	chr6	87408012	87511634	+	protein_coding
ENSG00000216324.1	AL049697.2	chr6	87425795	87426088	-	processed_pseudogene
ENSG00000218793.1	AL049697.3	chr6	87441165	87442146	-	processed_pseudogene
